icao,iata,name,callsign,country,active
UFS,,UFS,FEEDER EXPRESS,United States,N
UGA,,Uganda Airlines,UGANDA,Uganda,N
UGC,,Urgemer Canarias,URGEMER,Spain,N
UHL,,Ukrainian Helicopters,UKRAINE COPTERS,Ukraine,N
UHS,,Ulyanovsk Higher Civil Aviation School,PILOT AIR,Russia,N
UJR,,Universal Jet Rental de Mexico,UNIVERSAL JET,Mexico,N
UJT,,Universal Jet Aviation,UNI-JET,United States,N
UKI,,UK International Airlines,KHALIQ,United Kingdom,N
UKL,,Ukraine Air Alliance,UKRAINE ALLIANCE,Ukraine,N
UKM,UF,UM Airlines,UKRAINE MEDITERRANEE,Ukraine,Y
UKN,,Ukraine Air Enterprise,ENTERPRISE UKRAINE,Ukraine,N
UKP,,United Kingdom Home Office,POLICE,United Kingdom,N
UKS,6Z,Ukrainian Cargo Airways,CARGOTRANS,Ukraine,N
ULT,,Ultrair,ULTRAIR,United States,N
UMS,,Unitemp-M,TOPAZ,Russia,N
UNC,,Uni-Fly,UNICOPTER,Denmark,N
UNF,,Union Flights,UNION FLIGHTS,United States,N
UNJ,,Universal Jet,PROJET,Spain,N
UNS,,Unsped Paket Servisi,UNSPED,Turkey,N
UNU,,Unifly Servizi Aerei,UNIEURO,Italy,N
UPL,,Ukrainian Pilot School,PILOT SCHOOL,Ukraine,N
UPS,5X,United Parcel Service,UPS,United States,N
URV,,Uraiavia,URAI,Russia,N
USA,US,US Airways,U S AIR,United States,Y
USC,,US Check Airlines,STAR CHECK,United States,N
USF,,USAfrica Airways,AFRICA EXPRESS,United States,N
USH,,US Helicopter,US-HELI,United States,Y
USJ,,US Jet,USJET,United States,N
USX,,US Express,AIR EXPRESS,United States,N
UTA,UT,UTair Aviation,UTAIR,Russia,Y
UTG,,UTAGE,UTAGE,Equatorial Guinea,N
UTR,,Utair South Africa,AIRUT,South Africa,N
UTS,,Ukrainian State Air Traffic Service Enterprise,AIRRUH,Ukraine,N
UTU,,Urartu-Air,,Armenia,N
UVA,,Universal Airways,UNIVERSAL,United States,N
UVG,,Universal Airlines,GUYANA JET,Guyana,N
UVM,,Uvavemex,UVAVEMEX,Mexico,N
AIO,,United States Air Force,AIR CHIEF,United States,Y
UVN,,United Aviation,UNITED AVIATION,Kuwait,N
UZB,HY,Uzbekistan Airways,UZBEK,Uzbekistan,Y
AUI,PS,Ukraine International Airlines,UKRAINE INTERNATIONAL,Ukraine,Y
WEC,,Universal Airlines,AIRGO,United States,N
VAU,VA,V Australia Airlines,KANGA,Australia,N
VBA,,V Bird Airlines Netherlands,VEEBEE,Netherlands,N
WIW,,V-avia Airline,VEE-AVIA,Ukraine,N
VBD,,V-Berd-Avia,VEEBIRD-AVIA,Armenia,N
VAC,,Vacationair,VACATIONAIR,Canada,N
RDW,,Valair AG (Helicoptere),ROADWATCH,Switzerland,N
VLA,,Valan International Cargo Charter,NALAU,South Africa,N
VLN,,Valan Limited,VALAN,Moldova,N
EHR,,Valfell-Verkflug,ROTOR,Iceland,N
VLU,VF,Valuair,VALUAIR,Singapore,Y
VAA,,Van Air Europe,EUROVAN,Czech Republic,N
VGC,,Vanguardia en Aviacion en Colima,VANGUARDIA COLIMA,Mexico,N
VGD,,Vanguard Airlines,VANGUARD AIR,United States,N
VFC,,Vasco Air,VASCO AIR,Vietnam,Y
VAG,,Vega,SEGA,Kazakhstan,N
WGA,,Vega Air Company,WEGA FRANKO,Ukraine,N
WEL,,Veles,Ukrainian Aviation Company,VELES,N
VTX,,Verataxis,VERATAXIS,Mexico,N
BTP,,Veritair Ltd,NET RAIL,United Kingdom,N
VAL,VC,Voyageur Airways,VOYAGEUR,Canada,N
GRV,,Vernicos Aviation,NIGHT RIDER,Greece,N
HVN,VN,Vietnam Airlines,VIET NAM AIRLINES,Vietnam,Y
KWA,,Vozdushnaya Academy,VOZAIR,Kazakhstan,N
MOV,NN,VIM Airlines,MOV AIR,Russia,Y
MVY,,VIM-Aviaservice,,Russia,N
ENV,,Victoria Aviation,ENDEAVOUR,United Kingdom,N
VCT,,Viscount Air Service,VISCOUNT AIR,United States,N
SSI,,Vision Airlines,SUPER JET,Nigeria,N
FXF,,VIP Air Charter,FOX FLIGHT,United States,N
PAV,,VIP Avia,NICOL,Kazakhstan,N
PRX,,VIP Avia,PAREX,Latvia,N
VAT,,Visionair,VISIONAIR,Ireland,N
VCA,,VICA - Viacao Charter Aereos,VICA,Brazil,N
VCM,,Volare Air Charter Company,CARMEN,United States,N
VOI,Y4,Volaris,VOLARIS,Mexico,Y
VDA,VI,Volga-Dnepr Airlines,VOLGA-DNEPR,Russia,Y
VEA,,Vega Airlines,VEGA AIRLINES,Bulgaria,N
VEC,,Venescar Internacional,VECAR,Venezuela,N
VEE,,Victor Echo,VICTOR ECHO,Spain,N
VEI,,Virgin Express Ireland,GREEN ISLE,Ireland,N
VRD,VX,Virgin America,REDWOOD,United States,Y
VES,,Vieques Air Link,VIEQUES,United States,N
VEX,TV,Virgin Express,VIRGIN EXPRESS,Belgium,Y
VFT,,VZ Flights,ZETA FLIGHTS,Mexico,N
VGN,VK,Virgin Nigeria Airways,VIRGIN NIGERIA,Nigeria,Y
VGV,,Vologda State Air Enterprise,VOLOGDA AIR,Russia,N
VHA,,VH-Air Industrie,AIR V-H,Angola,N
VHM,,VHM Schul-und-Charterflug,EARLY BIRD,Germany,N
VIB,,Vibroair Flugservice,VITUS,Germany,N
VIC,,VIP Servicios Aereos Ejecutivos,VIP-EJECUTIVO,Mexico,N
VIE,,VIP Empresarial,VIP EMPRESARIAL,Mexico,N
VIF,,VIF Luftahrt,VIENNA FLIGHT,Austria,N
VIG,,Vega Aviation,VEGA AVIATION,Sudan,N
VIH,,Vichi,VICHI,Moldova,N
VIK,,Viking Airlines,SWEDJET,Sweden,N
VIN,,Vinair - Helicoptereos,VINAIR,Portugal,N
VIR,VS,Virgin Atlantic Airways,VIRGIN,United Kingdom,Y
VJM,,Viajes Ejecutivos Mexicanos,VIAJES MEXICANOS,Mexico,N
VJT,,Vistajet,VISTA,Canada,N
VVM,ZG,Viva Macau,JACKPOT,Macao,Y
VLE,VE,Volare Airlines,VOLA,Italy,Y
VLG,VY,Vueling Airlines,VUELING,Spain,Y
VLK,XF,Vladivostok Air,VLADAIR,Russia,Y
VLO,LC,Varig Log,VELOG,Brazil,Y
VLT,,Vertical-T Air Company,VERTICAL,Russia,N
VMA,,Vero Monmouth Airlines,VERO MONMOUTH,United States,N
VNK,,Vipport Joint Stock Company,,Russia,N
VOA,VM,Viaggio Air,VIAGGIO,Bulgaria,N
VOG,,Voyager Airlines,VOYAGER AIR,Bangladesh,N
VOZ,VA,Virgin Australia,VIRGIN,Australia,Y
VBI,DJ,Virgin Blue,BLUEY,Australia,N
VPA,,VIP Air,VIP TAXI,Slovakia,N
VPB,,Veteran Air,VETERAN,Ukraine,N
VPV,,VIP-Avia,VIP AVIA,Georgia,N
VRA,,Vertair,VERITAIR,United Kingdom,N
VRE,,Volare Airlines,UKRAINE VOLARE,Ukraine,N
VRL,,Voar Lda,VOAR LINHAS,Angola,N
VRN,RG,VRG Linhas Aereas,VARIG,Brazil,Y
VSB,,Vickers Limited,VICKERS,United Kingdom,N
VSG,,Visig Operaciones Aereas,VISIG,Spain,N
VSN,,Vision Airways Corporation,VISION,Canada,N
VSO,,Voronezh Aircraft Manufacturing Society,VASO,Russia,N
VSP,VP,VASP,VASP,Brazil,Y
VSS,,Virign Islands Seaplane Shuttle,WATERBIRD,United States,N
VTC,,Vuelos Especializados Tollocan,VUELOS TOLLOCAN,Mexico,N
VTH,,Vuelos Corporativos de Tehuacan,VUELOS TEHUACAN,Mexico,N
VTK,,Vostok Airlines,VOSTOK,Russia,N
VTL,,Victor Tagle Larrain,VITALA,Chile,N
VTV,,Vointeh,VOINTEH,Bulgaria,N
VUR,,Vuelos Internos Privados VIP,VIPEC,Ecuador,N
VUS,,Vuela Bus,VUELA BUS,Mexico,N
VZL,,Vzlyet,VZLYET,Russia,N
VLM,VG,VLM Airlines,RUBENS,Belgium,Y
WCY,,Viking Express,TITAN AIR,United States,N
WEV,,Victoria International Airways,VICTORIA UGANDA,Uganda,N
WLG,,Volga Aviaexpress,GOUMRAK,Russia,N
WDL,,WDL Aviation,WDL,Germany,N
WRR,,WRA Inc,WRAP AIR,United States,N
XWS,,WSI Corporation,,United States,N
CGG,,Walmart Aviation,CHARGE,United States,N
WAS,,Walsten Air Services,WALSTEN,Canada,N
GOT,,Walter I Linkoping,GOTHIC,Sweden,N
WPT,,Wapiti Aviation,WAPITI,Canada,N
WAV,,Warbelow's Air Ventures,WARBELOW,United States,N
ATX,,Warwickshire Aerocentre Ltd.,AIRTAX,United Kingdom,N
WSG,,Wasaya Airways,WASAYA,Canada,N
WTC,,Weasua Air Transport Company,WATCO,Liberia,N
WEB,WJ,WebJet Linhas A,WEB-BRASIL,Brazil,Y
TDB,,Welch Aviation,THUNDER BAY,United States,N
WLC,2W,Welcome Air,WELCOMEAIR,Austria,Y
BLW,,Wermlandsflyg AB,BLUESTAR,Sweden,N
WCB,,West Africa Airlines,KILO YANKEE,Ghana,N
WTF,,West African Air Transport,WESTAF AIRTRANS,Senegal,N
WSF,,West African Airlines,,Benin,N
WAC,,West African Cargo Airlines,WESTAF CARGO,Mauritania,N
WLX,,West Air Luxembourg,WEST LUX,Luxembourg,N
SWN,PT,West Air Sweden,AIR SWEDEN,Sweden,N
WCW,,West Caribbean Airways,,Colombia,N
WCR,,West Caribbean Costa Rica,WEST CARIBBEAN,Costa Rica,N
WCG,,West Coast Airlines,WHISKY INDIA,Ghana,N
WCA,,West Coast Airways,WEST-LEONE,Sierra Leone,N
TEE,,West Freugh DTEO,TEEBIRD,United Kingdom,N
WEW,,West Wind Aviation,WESTWIND,Canada,N
WJA,WS,WestJet,WESTJET,Canada,Y
WAA,,Westair Aviation,WESTAIR WINGS,Namibia,N
WSC,,Westair Cargo Airlines,WESTCAR,Cote d'Ivoire,N
PCM,,Westair Industries,PAC VALLEY,United States,N
BLK,,Westcoast Energy,BLUE FLAME,Canada,N
WST,,Western Air,WESTERN BAHAMAS,Bahamas,N
NPC,,Western Air Couriers,NORPAC,United States,N
WAE,,Western Air Express,WESTERN EXPRESS,United States,N
WAL,WA,Western Airlines,WESTERN,United States,Y
WAL,,Western Arctic Air,WESTERN ARCTIC,Canada,N
WTV,,Western Aviators,WESTAVIA,United States,N
WES,,Western Express Air Lines,WEST EX,Canada,N
KMR,,Western Pacific Airlines,KOMSTAR,United States,N
WPA,,Western Pacific Airservice,WESTPAC,Solomon Islands,N
WSL,,Westflight Aviation,WEST LINE,United Kingdom,N
WSA,,Westgates Airlines,WESTATES,United States,N
WHE,,Westland Helicopters,WESTLAND,United Kingdom,N
WTP,,Westpoint Air,WESTPOINT,Canada,N
WWD,CN,Westward Airways,WESTWARD,United States,N
WHT,,White,YOUNG SKY,Portugal,N
WEA,,White Eagle Aviation,WHITE EAGLE,Poland,N
WRA,,White River Air Services,,Canada,N
WWL,,Whyalla Airlines,,Australia,N
